---------------------------------------------
                   Orthogonal Coordinates  
 No.     Label    xo [Å]   yo [Å]   zo [Å]   
  5472.  Zn19     -0.6101   0.7347   1.3292
  5476.  Zn2      -0.8841   1.2078   1.7152
  5479.  Zn2      -1.2078   0.8841   1.7152
  5484.  Zn2      -1.7152   0.8841   1.2078
  5486.  Zn2      -1.7152   1.2078   0.8841
  5493.  Zn2      -0.8841   1.7152   1.2078
  5495.  Zn2      -1.2078   1.7152   0.8841
  5569.  Zn21     -1.7028   1.1425   0.8779
  5570.  Zn21     -0.8779   1.7028   1.1425
  5571.  Zn21     -1.1425   0.8779   1.7028
  5584.  Zn21     -1.1425   1.7028   0.8779
  5585.  Zn21     -1.7028   0.8779   1.1425
  5586.  Zn21     -0.8779   1.1425   1.7028
  5668.  Zn22     -1.3261   1.5689   1.1985
  5671.  Zn22     -1.5689   1.3261   1.1985
  5676.  Zn22     -1.1985   1.3261   1.5689
  5678.  Zn22     -1.1985   1.5689   1.3261
  5685.  Zn22     -1.3261   1.1985   1.5689
  5687.  Zn22     -1.5689   1.1985   1.3261
  5766.  Zn23     -1.3137   0.9463   0.7098
  5769.  Zn23     -0.9463   1.3137   0.7098
  5771.  Zn23     -0.7098   1.3137   0.9463
  5773.  Zn23     -0.7098   0.9463   1.3137
  5780.  Zn23     -1.3137   0.7098   0.9463
  5782.  Zn23     -0.9463   0.7098   1.3137
  5861.  Zn24     -0.6662   1.1642   0.9993
  5864.  Zn24     -1.1642   0.6662   0.9993
  5866.  Zn24     -0.9993   0.6662   1.1642
  5871.  Zn24     -0.9993   1.1642   0.6662
  5875.  Zn24     -0.6662   0.9993   1.1642
  5880.  Zn24     -1.1642   0.9993   0.6662
  5977.  Zn26     -1.7931   1.0242   0.6631
  5982.  Zn26     -0.6631   1.7931   1.0242
  5984.  Zn26     -1.0242   0.6631   1.7931
  6024.  Zn26     -1.0242   1.7931   0.6631
  6025.  Zn26     -1.7931   0.6631   1.0242
  6029.  Zn26     -0.6631   1.0242   1.7931
  6084.  Zn27     -1.1300   1.7183   1.9020
  6091.  Zn27     -1.7183   1.1300   1.9020
  6107.  Zn27     -1.9020   1.1300   1.7183
  6114.  Zn27     -1.9020   1.7183   1.1300
  6134.  Zn27     -1.1300   1.9020   1.7183
  6139.  Zn27     -1.7183   1.9020   1.1300
  6185.  Zn28     -1.5222   1.0677   0.5448
  6194.  Zn28     -1.0677   1.5222   0.5448
  6199.  Zn28     -0.5448   1.5222   1.0677
  6205.  Zn28     -0.5448   1.0677   1.5222
  6228.  Zn28     -1.5222   0.5448   1.0677
  6234.  Zn28     -1.0677   0.5448   1.5222
  6277.  Zn29     -0.2802   0.6101   1.3759
  6288.  Zn29     -0.6101   0.2802   1.3759
  6294.  Zn29     -1.3759   0.2802   0.6101
  6308.  Zn29     -1.3759   0.6101   0.2802
  6319.  Zn29     -0.2802   1.3759   0.6101
  6335.  Zn29     -0.6101   1.3759   0.2802
  6342.  Zn3      -1.5160   1.4662   1.0055
  6345.  Zn3      -1.4662   1.5160   1.0055
  6347.  Zn3      -1.0055   1.5160   1.4662
  6349.  Zn3      -1.0055   1.4662   1.5160
  6356.  Zn3      -1.5160   1.0055   1.4662
